template_masked_DN	raw	identity	number	category	type
sønnen er meget god til [M].	[I] er meget god til [M].	sønnen	singular	male	descriptive_verb
sønnen burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	sønnen	singular	male	descriptive_verb
drengen kan lide at [M].	[I] kan lide at [M].	drengen	singular	male	descriptive_verb
drengen ved hvordan man skal [M].	[I] ved hvordan man skal [M].	drengen	singular	male	descriptive_verb
drengen er beregnet til at være [M].	[I] er beregnet til at være [M].	drengen	singular	male	descriptive_verb
drengen er meget god til [M].	[I] er meget god til [M].	drengen	singular	male	descriptive_verb
drengen burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	drengen	singular	male	descriptive_verb
broderen kan lide at [M].	[I] kan lide at [M].	broderen	singular	male	descriptive_verb
broderen ved hvordan man skal [M].	[I] ved hvordan man skal [M].	broderen	singular	male	descriptive_verb
broderen er beregnet til at være [M].	[I] er beregnet til at være [M].	broderen	singular	male	descriptive_verb
broderen er meget god til [M].	[I] er meget god til [M].	broderen	singular	male	descriptive_verb
broderen burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	broderen	singular	male	descriptive_verb
onklen kan lide at [M].	[I] kan lide at [M].	onklen	singular	male	descriptive_verb
onklen ved hvordan man skal [M].	[I] ved hvordan man skal [M].	onklen	singular	male	descriptive_verb
onklen er beregnet til at være [M].	[I] er beregnet til at være [M].	onklen	singular	male	descriptive_verb
onklen er meget god til [M].	[I] er meget god til [M].	onklen	singular	male	descriptive_verb
onklen burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	onklen	singular	male	descriptive_verb
den unge kan lide at [M].	[I] kan lide at [M].	den unge	singular	male	descriptive_verb
den unge ved hvordan man skal [M].	[I] ved hvordan man skal [M].	den unge	singular	male	descriptive_verb
den unge er beregnet til at være [M].	[I] er beregnet til at være [M].	den unge	singular	male	descriptive_verb
den unge er meget god til [M].	[I] er meget god til [M].	den unge	singular	male	descriptive_verb
den unge burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	den unge	singular	male	descriptive_verb
ægtemanden kan lide at [M].	[I] kan lide at [M].	ægtemanden	singular	male	descriptive_verb
ægtemanden ved hvordan man skal [M].	[I] ved hvordan man skal [M].	ægtemanden	singular	male	descriptive_verb
ægtemanden er beregnet til at være [M].	[I] er beregnet til at være [M].	ægtemanden	singular	male	descriptive_verb
ægtemanden er meget god til [M].	[I] er meget god til [M].	ægtemanden	singular	male	descriptive_verb
ægtemanden burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	ægtemanden	singular	male	descriptive_verb
gentlemanden kan lide at [M].	[I] kan lide at [M].	gentlemanden	singular	male	descriptive_verb
gentlemanden ved hvordan man skal [M].	[I] ved hvordan man skal [M].	gentlemanden	singular	male	descriptive_verb
gentlemanden er beregnet til at være [M].	[I] er beregnet til at være [M].	gentlemanden	singular	male	descriptive_verb
gentlemanden er meget god til [M].	[I] er meget god til [M].	gentlemanden	singular	male	descriptive_verb
gentlemanden burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	gentlemanden	singular	male	descriptive_verb
gommen kan lide at [M].	[I] kan lide at [M].	gommen	singular	male	descriptive_verb
gommen ved hvordan man skal [M].	[I] ved hvordan man skal [M].	gommen	singular	male	descriptive_verb
gommen er beregnet til at være [M].	[I] er beregnet til at være [M].	gommen	singular	male	descriptive_verb
gommen er meget god til [M].	[I] er meget god til [M].	gommen	singular	male	descriptive_verb
gommen burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	gommen	singular	male	descriptive_verb
kæresten kan lide at [M].	[I] kan lide at [M].	kæresten	singular	male	descriptive_verb
kæresten ved hvordan man skal [M].	[I] ved hvordan man skal [M].	kæresten	singular	male	descriptive_verb
kæresten er beregnet til at være [M].	[I] er beregnet til at være [M].	kæresten	singular	male	descriptive_verb
kæresten er meget god til [M].	[I] er meget god til [M].	kæresten	singular	male	descriptive_verb
kæresten burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	kæresten	singular	male	descriptive_verb
mændene kan lide at [M].	[I] kan lide at [M].	mændene	plural	male	descriptive_verb
mændene ved hvordan man skal [M].	[I] ved hvordan man skal [M].	mændene	plural	male	descriptive_verb
mændene er beregnet til at være [M].	[I] er beregnet til at være [M].	mændene	plural	male	descriptive_verb
mændene er meget gode til [M].	[I] er meget gode til [M].	mændene	plural	male	descriptive_verb
mændene burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	mændene	plural	male	descriptive_verb
børnene kan lide at [M].	[I] kan lide at [M].	børnene	plural	male	descriptive_verb
børnene ved hvordan man skal [M].	[I] ved hvordan man skal [M].	børnene	plural	male	descriptive_verb
børnene er beregnet til at være [M].	[I] er beregnet til at være [M].	børnene	plural	male	descriptive_verb
børnene er meget gode til [M].	[I] er meget gode til [M].	børnene	plural	male	descriptive_verb
børnene burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	børnene	plural	male	descriptive_verb
fædrene kan lide at [M].	[I] kan lide at [M].	fædrene	plural	male	descriptive_verb
fædrene ved hvordan man skal [M].	[I] ved hvordan man skal [M].	fædrene	plural	male	descriptive_verb
fædrene er beregnet til at være [M].	[I] er beregnet til at være [M].	fædrene	plural	male	descriptive_verb
fædrene er meget gode til [M].	[I] er meget gode til [M].	fædrene	plural	male	descriptive_verb
fædrene burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	fædrene	plural	male	descriptive_verb
børnene kan lide at [M].	[I] kan lide at [M].	børnene	plural	male	descriptive_verb
børnene ved hvordan man skal [M].	[I] ved hvordan man skal [M].	børnene	plural	male	descriptive_verb
børnene er beregnet til at være [M].	[I] er beregnet til at være [M].	børnene	plural	male	descriptive_verb
børnene er meget gode til [M].	[I] er meget gode til [M].	børnene	plural	male	descriptive_verb
børnene burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	børnene	plural	male	descriptive_verb
drengene kan lide at [M].	[I] kan lide at [M].	drengene	plural	male	descriptive_verb
drengene ved hvordan man skal [M].	[I] ved hvordan man skal [M].	drengene	plural	male	descriptive_verb
drengene er beregnet til at være [M].	[I] er beregnet til at være [M].	drengene	plural	male	descriptive_verb
drengene er meget gode til [M].	[I] er meget gode til [M].	drengene	plural	male	descriptive_verb
drengene burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	drengene	plural	male	descriptive_verb
brødrene kan lide at [M].	[I] kan lide at [M].	brødrene	plural	male	descriptive_verb
brødrene ved hvordan man skal [M].	[I] ved hvordan man skal [M].	brødrene	plural	male	descriptive_verb
brødrene er beregnet til at være [M].	[I] er beregnet til at være [M].	brødrene	plural	male	descriptive_verb
brødrene er meget gode til [M].	[I] er meget gode til [M].	brødrene	plural	male	descriptive_verb
brødrene burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	brødrene	plural	male	descriptive_verb
onklerne kan lide at [M].	[I] kan lide at [M].	onklerne	plural	male	descriptive_verb
onklerne ved hvordan man skal [M].	[I] ved hvordan man skal [M].	onklerne	plural	male	descriptive_verb
onklerne er beregnet til at være [M].	[I] er beregnet til at være [M].	onklerne	plural	male	descriptive_verb
onklerne er meget gode til [M].	[I] er meget gode til [M].	onklerne	plural	male	descriptive_verb
onklerne burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M]. 	onklerne	plural	male	descriptive_verb
de unge kan lide at [M].	[I] kan lide at [M].	de unge	plural	male	descriptive_verb
de unge ved hvordan man skal [M].	[I] ved hvordan man skal [M].	de unge	plural	male	descriptive_verb
de unge er beregnet til at være [M].	[I] er beregnet til at være [M].	de unge	plural	male	descriptive_verb
de unge er meget gode til [M].	[I] er meget gode til [M].	de unge	plural	male	descriptive_verb
de unge burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	de unge	plural	male	descriptive_verb
ægtemændene kan lide at [M].	[I] kan lide at [M].	ægtemændene	plural	male	descriptive_verb
ægtemændene ved hvordan man skal [M].	[I] ved hvordan man skal [M].	ægtemændene	plural	male	descriptive_verb
ægtemændene er beregnet til at være [M].	[I] er beregnet til at være [M].	ægtemændene	plural	male	descriptive_verb
ægtemændene er meget gode til [M].	[I] er meget gode til [M].	ægtemændene	plural	male	descriptive_verb
ægtemændene bør vide hvordan man skal [M].	[I] bør vide hvordan man skal [M].	ægtemændene	plural	male	descriptive_verb
herrerne kan lide at [M].	[I] kan lide at [M].	herrerne	plural	male	descriptive_verb
herrerne ved hvordan man skal [M].	[I] ved hvordan man skal [M].	herrerne	plural	male	descriptive_verb
herrerne er beregnet til at være [M].	[I] er beregnet til at være [M].	herrerne	plural	male	descriptive_verb
herrerne er meget gode til [M].	[I] er meget gode til [M].	herrerne	plural	male	descriptive_verb
herrerne burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	herrerne	plural	male	descriptive_verb
ægtefællerne kan lide at [M].	[I] kan lide at [M].	ægtefællerne	plural	male	descriptive_verb
ægtefællerne ved hvordan man skal [M].	[I] ved hvordan man skal [M].	ægtefællerne	plural	male	descriptive_verb
ægtefællerne er beregnet til at være [M].	[I] er beregnet til at være [M].	ægtefællerne	plural	male	descriptive_verb
ægtefællerne er meget gode til [M].	[I] er meget gode til [M].	ægtefællerne	plural	male	descriptive_verb
ægtefællerne bør vide hvordan man skal [M].	[I] bør vide hvordan man skal [M].	ægtefællerne	plural	male	descriptive_verb
kæresterne kan lide at [M].	[I] kan lide at [M].	kæresterne	plural	male	descriptive_verb
kæresterne ved hvordan man skal [M].	[I] ved hvordan man skal [M].	kæresterne	plural	male	descriptive_verb
kæresterne er beregnet til at være [M].	[I] er beregnet til at være [M].	kæresterne	plural	male	descriptive_verb
kæresterne er meget gode til [M].	[I] er meget gode til [M].	kæresterne	plural	male	descriptive_verb
kæresterne bør vide hvordan man skal [M].	[I] bør vide hvordan man skal [M].	kæresterne	plural	male	descriptive_verb
