templates_maskes_SV	raw	identity	number	category	type
onkelen borde veta hur man ska [M].	[I] borde veta hur man ska [M].	onkelen	singular	male	descriptive_verb
den unge gillar att [M].	[I] gillar att [M].	den unge	singular	male	descriptive_verb
den unge vet hur man ska [M].	[I] vet hur man ska [M].	den unge	singular	male	descriptive_verb
den unge är tänkt att vara [M].	[I] är tänkt att vara [M].	den unge	singular	male	descriptive_verb
den unge är väldigt bra på [M].	[I] är väldigt bra på [M].	den unge	singular	male	descriptive_verb
den unge borde veta hur man ska [M].	[I] borde veta hur man ska [M].	den unge	singular	male	descriptive_verb
maken gillar att [M].	[I] gillar att [M].	maken	singular	male	descriptive_verb
maken vet hur man ska [M].	[I] vet hur man ska [M].	maken	singular	male	descriptive_verb
maken är tänkt att vara [M].	[I] är tänkt att vara [M].	maken	singular	male	descriptive_verb
maken är väldigt bra på [M].	[I] är väldigt bra på [M].	maken	singular	male	descriptive_verb
maken borde veta hur man ska [M].	[I] borde veta hur man ska [M].	maken	singular	male	descriptive_verb
gentlemannen gillar att [M].	[I] gillar att [M].	gentlemannen	singular	male	descriptive_verb
gentlemannen vet hur man ska [M].	[I] vet hur man ska [M].	gentlemannen	singular	male	descriptive_verb
gentlemannen är tänkt att vara [M].	[I] är tänkt att vara [M].	gentlemannen	singular	male	descriptive_verb
gentlemannen är väldigt bra på [M].	[I] är väldigt bra på [M].	gentlemannen	singular	male	descriptive_verb
gentlemannen borde veta hur man ska [M].	[I] borde veta hur man ska [M].	gentlemannen	singular	male	descriptive_verb
brudgummen gillar att [M].	[I] gillar att [M].	brudgummen	singular	male	descriptive_verb
brudgummen vet hur man ska [M].	[I] vet hur man ska [M].	brudgummen	singular	male	descriptive_verb
brudgummen är tänkt att vara [M].	[I] är tänkt att vara [M].	brudgummen	singular	male	descriptive_verb
brudgummen är väldigt bra på [M].	[I] är väldigt bra på [M].	brudgummen	singular	male	descriptive_verb
brudgummen borde veta hur man ska [M].	[I] borde veta hur man ska [M].	brudgummen	singular	male	descriptive_verb
pojkvännen gillar att [M].	[I] gillar att [M].	pojkvännen	singular	male	descriptive_verb
pojkvännen vet hur man ska [M].	[I] vet hur man ska [M].	pojkvännen	singular	male	descriptive_verb
pojkvännen är tänkt att vara [M].	[I] är tänkt att vara [M].	pojkvännen	singular	male	descriptive_verb
pojkvännen är väldigt bra på [M].	[I] är väldigt bra på [M].	pojkvännen	singular	male	descriptive_verb
pojkvännen borde veta hur man ska [M].	[I] borde veta hur man ska [M].	pojkvännen	singular	male	descriptive_verb
männen gillar att [M].	[I] gillar att [M].	männen	plural	male	descriptive_verb
männen vet hur man ska [M].	[I] vet hur man ska [M].	männen	plural	male	descriptive_verb
männen är tänkt att vara [M].	[I] är tänkt att vara [M].	männen	plural	male	descriptive_verb
männen är väldigt bra på [M].	[I] är väldigt bra på [M].	männen	plural	male	descriptive_verb
männen borde veta hur man ska [M].	[I] borde veta hur man ska [M].	männen	plural	male	descriptive_verb
barnen gillar att [M].	[I] gillar att [M].	barnen	plural	male	descriptive_verb
barnen vet hur man ska [M].	[I] vet hur man ska [M].	barnen	plural	male	descriptive_verb
barnen är tänkt att vara [M].	[I] är tänkt att vara [M].	barnen	plural	male	descriptive_verb
barnen är väldigt bra på [M].	[I] är väldigt bra på [M].	barnen	plural	male	descriptive_verb
barnen borde veta hur man ska [M].	[I] borde veta hur man ska [M].	barnen	plural	male	descriptive_verb
fäderna gillar att [M].	[I] gillar att [M].	fäderna	plural	male	descriptive_verb
fäderna vet hur man ska [M].	[I] vet hur man ska [M].	fäderna	plural	male	descriptive_verb
fäderna är tänkt att vara [M].	[I] är tänkt att vara [M].	fäderna	plural	male	descriptive_verb
fäderna är väldigt bra på [M].	[I] är väldigt bra på [M].	fäderna	plural	male	descriptive_verb
fäderna borde veta hur man ska [M].	[I] borde veta hur man ska [M].	fäderna	plural	male	descriptive_verb
barnen gillar att [M].	[I] gillar att [M].	barnen	plural	male	descriptive_verb
barnen vet hur man ska [M].	[I] vet hur man ska [M].	barnen	plural	male	descriptive_verb
barnen är tänkt att vara [M].	[I] är tänkt att vara [M].	barnen	plural	male	descriptive_verb
barnen är väldigt bra på [M].	[I] är väldigt bra på [M].	barnen	plural	male	descriptive_verb
barnen borde veta hur man ska [M].	[I] borde veta hur man ska [M].	barnen	plural	male	descriptive_verb
pojkarna gillar att [M].	[I] gillar att [M].	pojkarna	plural	male	descriptive_verb
pojkarna vet hur man ska [M].	[I] vet hur man ska [M].	pojkarna	plural	male	descriptive_verb
pojkarna är tänkt att vara [M].	[I] är tänkt att vara [M].	pojkarna	plural	male	descriptive_verb
pojkarna är väldigt bra på [M].	[I] är väldigt bra på [M].	pojkarna	plural	male	descriptive_verb
pojkarna borde veta hur man ska [M].	[I] borde veta hur man ska [M].	pojkarna	plural	male	descriptive_verb
bröderna gillar att [M].	[I] gillar att [M].	bröderna	plural	male	descriptive_verb
bröderna vet hur man ska [M].	[I] vet hur man ska [M].	bröderna	plural	male	descriptive_verb
bröderna är tänkt att vara [M].	[I] är tänkt att vara [M].	bröderna	plural	male	descriptive_verb
bröderna är väldigt bra på [M].	[I] är väldigt bra på [M].	bröderna	plural	male	descriptive_verb
bröderna borde veta hur man ska [M].	[I] borde veta hur man ska [M].	bröderna	plural	male	descriptive_verb
onklene gillar att [M].	[I] gillar att [M].	onklene	plural	male	descriptive_verb
onklene vet hur man ska [M].	[I] vet hur man ska [M].	onklene	plural	male	descriptive_verb
onklene är tänkt att vara [M].	[I] är tänkt att vara [M].	onklene	plural	male	descriptive_verb
onklene är väldigt bra på [M].	[I] är väldigt bra på [M].	onklene	plural	male	descriptive_verb
onklene borde veta hur man ska [M].	[I] borde veta hur man ska [M].	onklene	plural	male	descriptive_verb
de unga gillar att [M].	[I] gillar att [M].	de unga	plural	male	descriptive_verb
de unga vet hur man ska [M].	[I] vet hur man ska [M].	de unga	plural	male	descriptive_verb
de unga är tänkt att vara [M].	[I] är tänkt att vara [M].	de unga	plural	male	descriptive_verb
de unga är väldigt bra på [M].	[I] är väldigt bra på [M].	de unga	plural	male	descriptive_verb
de unga borde veta hur man ska [M].	[I] borde veta hur man ska [M].	de unga	plural	male	descriptive_verb
makarna gillar att [M].	[I] gillar att [M].	makarna	plural	male	descriptive_verb
makarna vet hur man ska [M].	[I] vet hur man ska [M].	makarna	plural	male	descriptive_verb
makarna är tänkt att vara [M].	[I] är tänkt att vara [M].	makarna	plural	male	descriptive_verb
makarna är väldigt bra på [M].	[I] är väldigt bra på [M].	makarna	plural	male	descriptive_verb
makarna borde veta hur man ska [M].	[I] borde veta hur man ska [M].	makarna	plural	male	descriptive_verb
herrarna gillar att [M].	[I] gillar att [M].	herrarna	plural	male	descriptive_verb
herrarna vet hur man ska [M].	[I] vet hur man ska [M].	herrarna	plural	male	descriptive_verb
herrarna är tänkt att vara [M].	[I] är tänkt att vara [M].	herrarna	plural	male	descriptive_verb
herrarna är väldigt bra på [M].	[I] är väldigt bra på [M].	herrarna	plural	male	descriptive_verb
herrarna borde veta hur man ska [M].	[I] borde veta hur man ska [M].	herrarna	plural	male	descriptive_verb
makarna gillar att [M].	[I] gillar att [M].	makarna	plural	male	descriptive_verb
makarna vet hur man ska [M].	[I] vet hur man ska [M].	makarna	plural	male	descriptive_verb
makarna är tänkt att vara [M].	[I] är tänkt att vara [M].	makarna	plural	male	descriptive_verb
makarna är väldigt bra på [M].	[I] är väldigt bra på [M].	makarna	plural	male	descriptive_verb
makarna borde veta hur man ska [M].	[I] borde veta hur man ska [M].	makarna	plural	male	descriptive_verb
pojkvännerna gillar att [M].	[I] gillar att [M].	pojkvännerna	plural	male	descriptive_verb
pojkvännerna vet hur man ska [M].	[I] vet hur man ska [M].	pojkvännerna	plural	male	descriptive_verb
pojkvännerna är tänkt att vara [M].	[I] är tänkt att vara [M].	pojkvännerna	plural	male	descriptive_verb
pojkvännerna är väldigt bra på [M].	[I] är väldigt bra på [M].	pojkvännerna	plural	male	descriptive_verb
pojkvännerna borde veta hur man ska [M].	[I] borde veta hur man ska [M].	pojkvännerna	plural	male	descriptive_verb
